Gene	FC	Length
Gm12440	1.084501	3920
E230025N22Rik	1.0844624	11002
Hrh2	1.0844573	30303
Siglecg	1.0844551	10154
Tnfaip8l2	1.084335	2839
Mcpt8	1.0841641	3050
Myog	1.0841632	2543
Cytip	1.0839868	66395
Fam189a1	1.0839489	400474
Gm13271	1.0839154	548
Tmc6	1.0839052	16210
Gm20548	1.0838377	8994
Gprc6a	1.0838109	16635
Ushbp1	1.0837932	11527
Cs	1.0837457	24647
4933423P22Rik	1.0837331	9189
Rbbp7	1.0837265	18690
Hopx	1.083706	28718
Nmnat2	1.0836984	164159
Lta	1.0836687	2186
Loxl4	1.0836674	18831
Gm10071	1.0835829	122597
Gpam	1.0834537	59682
Gm12971	1.0833946	3816
Twist2	1.0833275	46567
Rae1	1.0832046	15622
Fxyd4	1.0831505	3606
1700067K01Rik	1.0830809	3268
Opn1mw	1.0830606	23296
Zc3h7a	1.0829226	39801
Peo1	1.0829157	6689
Syt12	1.0827391	31539
Cacna1e	1.0827161	333400
Gstm3	1.0827144	26950
Glud1	1.0827031	34417
Tmco4	1.0827017	86283
Gm7367	1.0826412	632
Aldh7a1	1.0825849	63264
Tnni2	1.0825427	2602
Spon2	1.0825337	4720
Tmem204	1.0824399	23479
Mboat4	1.0823879	10155
H2-Bl	1.0823755	19248
Crct1	1.0822319	1482
Cysltr2	1.0820812	19986
Noc4l	1.0819297	4999
Cd22	1.0819081	14940
Pcolce	1.0818274	8681
Tnnt1	1.0817581	11812
Tmem215	1.0817493	4988
Zmynd15	1.0817198	6769
Dok3	1.0816878	5303
Pdilt	1.0816299	36895
4933427D06Rik	1.0815578	13927
Nkx3-2	1.0815367	3331
Fh1	1.0815271	25261
Gip	1.0815238	6286
Tdrd12	1.0814534	68647
Npdc1	1.0813587	10143
Paqr6	1.0813262	3957
Galnt4	1.0812975	5088
4930448E22Rik	1.0812565	3022
Plcb2	1.0811653	20921
Ltb4r2	1.0811585	1082
Gast	1.0811294	2589
Syt10	1.0810878	59467
Cacna1f	1.0810416	28113
Syce2	1.0808201	16110
Paqr4	1.0807927	4144
Zfp282	1.0807917	31281
Cyp46a1	1.0807196	27854
Mrps27	1.0806715	70775
Edc3	1.0806624	43959
Pou3f3	1.0805736	3061
Katnal2	1.080518	70160
Gimap6	1.0804911	6643
Rps28	1.0804658	5535
Ifi27l2b	1.0804602	15054
Smad6	1.0803978	68983
D730045B01Rik	1.0803946	308
Hgs	1.0803305	16349
Apoa2	1.080309	1325
Catsper1	1.0802901	8412
Pebp1	1.0802424	4974
Cd40	1.0802407	17321
Gm15545	1.0800964	7697
Lrdd	1.0799078	5912
Odf3b	1.0797963	1804
Rgs7bp	1.0797572	107777
Tmem132c	1.079749	323985
Arap3	1.0797483	24950
N4bp2l2	1.0795904	57605
Tmem120a	1.079551	8786
B3gnt3	1.0795208	11033
Uroc1	1.0794541	31262
Cyp3a11	1.0793821	25538
Rpn2	1.0791942	47302
Thg1l	1.0791827	8651
Tlr6	1.0790914	6942
Wsb2	1.0790877	21297
Gpr84	1.079085	2202
Mbl1	1.0790544	7503
4930431P03Rik	1.0790379	6090
Ninj2	1.0789937	106989
Gpihbp1	1.0787076	1554
Polr1a	1.0786539	70303
Spag1	1.0786376	56242
Hnrnpu	1.0784225	14723
Myadml2	1.0783542	2127
Ccdc163	1.0783542	42697
Ngrn	1.0782864	4163
Tnpo3	1.078251	69060
Kcnk16	1.0782244	6406
Mdfi	1.0782157	19363
Nufip1	1.07806	26488
Il18rap	1.0780107	36343
Ccdc83	1.0779561	41554
Cdc42ep2	1.0779315	1434
Cyp2c38	1.0779265	73519
Mpl	1.0777776	15098
Pde7b	1.0777617	327074
Slc2a3	1.0777194	73831
Gm15663	1.077713	9921
4930558J18Rik	1.0776993	18282
Pax8	1.0776457	55048
Cbr2	1.0776367	2625
Adprhl2	1.077615	5656
Mtbp	1.0776093	69015
Gm11959	1.0775645	7842
Dock2	1.0775403	470579
Adra1a	1.0775377	135917
Ddx41	1.0775219	6248
Prm3	1.07751	406
Gnptg	1.0773757	5799
Nmur2	1.0773752	16023
4930564D02Rik	1.0772517	11962
Cpa3	1.0771177	26564
Sgol2	1.0770857	29928
Tada1	1.0770253	14524
Tnfrsf25	1.0769832	4185
Ngfrap1	1.076929	1717
1700034E13Rik	1.0769249	17524
Dpysl4	1.0769086	16703
C8b	1.0768815	38231
Uggt1	1.0768338	102775
Brs3	1.0768174	5684
Lrrc8a	1.0768125	44433
9630028H03Rik	1.0768093	258137
Cd300ld	1.0767945	7648
4930516K23Rik	1.0765618	138605
Trim15	1.0764937	6517
Gprc5c	1.0764675	21465
Pth2	1.0764664	656
Tshb	1.0764621	5316
Phf13	1.0764443	6625
Hba-a1	1.076435	954
Dbx2	1.0764023	32397
Tk1	1.0763859	10566
Ccdc19	1.0763831	24826
Oas1e	1.0763733	9218
1700034J04Rik	1.076362	749
4930556N13Rik	1.0762714	29791
Alpk2	1.0762223	128359
Zfp600	1.0761778	41931
BC030870	1.0759917	43101
Gm13238	1.0759671	779
1700042G07Rik	1.0759256	918
2410018L13Rik	1.0758969	56287
Fgd2	1.075862	18746
Kif18b	1.0758197	19595
Ccdc33	1.075808	90146
Chi3l3	1.0757704	71953
AU018091	1.0756179	14539
Hoxa11	1.0755877	4106
Dvl3	1.0755035	15538
Als2cl	1.0755019	20660
Zfp667	1.0754972	21304
5730460C07Rik	1.0754952	2782
Matn3	1.0754076	24099
Casr	1.0753434	68445
Crybg3	1.0753036	64977
Gm11767	1.0752954	6895
Edar	1.0752772	74865
Ldha	1.0752721	14152
Slc12a8	1.0752375	146807
Slc35c2	1.0751336	11315
Dnaja1	1.0749631	14999
Ccdc162	1.0749522	170454
Slc2a10	1.074936	16130
Med11	1.0748909	1808
Apbb1ip	1.0748706	101559
Snx3	1.0747509	33351
Stra8	1.0747426	19179
Zan	1.0746574	98427
Gsx2	1.0746566	2429
Pdx1	1.0746555	8049
2410017I17Rik	1.074605	17555
Gpr152	1.0745313	5954
Pcp2	1.0744298	2174
Myoz3	1.0744241	15472
Cdhr5	1.0743928	7701
Gemin4	1.0743852	7093
Aldh3b1	1.07438	16268
C030013C21Rik	1.0743319	1696
Gm17250	1.07429	2087
Hnf4a	1.0742373	66102
Arhgef33	1.0742073	81281
P2rx5	1.0741324	12264
Ncapg2	1.0741214	58129
B3gnt8	1.0740721	1866
Vpreb1	1.073989	2441
Olfr976	1.073977	2211
Foxg1	1.0739597	4163
Gm16055	1.073942	10080
Igsf21	1.073921	219938
Rhbdf2	1.073907	28854
Clec10a	1.0738956	4211
4930558K02Rik	1.0737758	37550
Kmo	1.0737418	41735
Tbxa2r	1.07373	6439
Rasgrp3	1.073656	93138
Gm13441	1.073643	5483
Maoa	1.0736389	68120
2700054A10Rik	1.0735776	223413
Arf4	1.0734988	27010
Gm4983	1.073495	335
Ttll10	1.0734777	24504
1700071K01Rik	1.0734255	818
Retn	1.0733916	4340
Zfp758	1.0733598	15828
Rassf7	1.0733109	2798
Pcif1	1.0732948	15150
Ubl4b	1.0732597	1375
Apip	1.0732181	18969
9530082P21Rik	1.0731118	10831
Klk1b22	1.0730128	4249
Dnajb8	1.0729792	988
Adat3	1.0729674	4774
4930435H24Rik	1.0728527	14553
Pi15	1.0728467	29037
Batf	1.0728335	22418
Tbrg1	1.0727737	8130
A830005F24Rik	1.0727636	1289
2410012M07Rik	1.0727413	1813
Pebp4	1.0727242	219466
Setd1a	1.0726928	23452
4930430O22Rik	1.0726197	538
Marcksl1	1.0726184	2404
Fam124b	1.0725223	19767
Batf2	1.0723896	31493
Amdhd2	1.0723801	7933
Spg21	1.0723208	27533
Rab13	1.0722543	12690
Gzmb	1.0721933	3404
Rasd2	1.0721781	10169
Rmst	1.0721716	83432
Taf7l	1.0720997	16372
Tnfrsf1b	1.0720892	33407
Upk1a	1.0719825	9642
Haus8	1.0719807	24373
Mlx	1.0718503	4930
Gm5621	1.071774	644
Btnl10	1.0716825	9250
Irx3	1.0715923	3542
Mfsd7c	1.0715686	67046
Capn11	1.0715477	29121
BC018242	1.0714849	11867
Ifitm7	1.0714824	5153
Iqgap3	1.0714401	38997
Nat2	1.0714328	7713
Sfrp5	1.0713985	4281
Bub1b	1.0713395	43381
Gm9930	1.0713328	3150
Tm2d3	1.0713226	10744
Mocs3	1.0712961	1685
Clps	1.0712852	2556
Hrct1	1.071273	1441
B230307C23Rik	1.0712403	12677
Mepe	1.0712268	13282
Art4	1.0711741	9282
1110028F11Rik	1.07116	3935
Scn4b	1.0711577	15715
Zbtb40	1.0711328	69069
Edc4	1.070961	14027
Sv2c	1.0709258	173134
Maged1	1.070884	6669
Spsb2	1.0708567	1958
Zfp58	1.0708449	35984
Hilpda	1.0707797	2958
Hcn2	1.0707176	19474
4921508A21Rik	1.0706837	6145
Akr1cl	1.0706824	20070
Rer1	1.0706047	12272
Hrh3	1.0705847	5023
Trim29	1.0705782	25362
Epsti1	1.0705569	93929
Il1rl1	1.0705329	35845
Bcl2l14	1.0703233	42418
0610031J06Rik	1.0702935	6290
Mfsd5	1.0702776	2288
Mphosph6	1.0702679	10284
Pcyox1	1.0702337	11144
Lrfn4	1.0701952	3882
Cct7	1.0701511	16972
Rab3a	1.0701101	3998
Pik3r4	1.0701071	44660
Gm9933	1.0700196	1717
Lpcat3	1.0699688	41391
Ankib1	1.0699165	113109
1810034E14Rik	1.0698858	19399
Tap2	1.0697725	12794
Vwce	1.0697706	30977
Psors1c2	1.0697569	1446
Hdac3	1.0697341	19144
Gm614	1.0697203	2616
5033403F01Rik	1.0696992	5680
Pilra	1.0695643	14326
Hoxc5	1.069541	3614
Htr1b	1.0695081	1272
Afp	1.0694348	18193
Col5a3	1.0694153	45017
Osbp2	1.0693563	160172
Gadd45gip1	1.0693136	3960
Hephl1	1.0693128	60267
Ceacam15	1.0692855	4374
Atp1a4	1.0692685	34901
Gm11633	1.0692666	443
Dcaf10	1.0692663	37658
Lrch4	1.0691738	13724
Vmn1r65	1.0691308	3260
B130024G19Rik	1.0690699	2310
Wfdc1	1.0690395	21699
Zkscan5	1.069025	17188
0610040F04Rik	1.0689884	83895
Adrb3	1.0689551	3812
Plekhm2	1.0689435	39165
Abtb1	1.0687743	6020
Gm5142	1.0687497	20246
Prr22	1.0687141	1958
Actg1	1.068709	2852
Ffar2	1.0686247	5418
5730416F02Rik	1.0684958	811
Cldn6	1.0683968	3081
Ccdc6	1.0683945	96079
Gpsm1	1.0683697	32722
Ppl	1.068316	46190
Cacna1h	1.0681814	59498
Prss46	1.0681595	12016
C1ql2	1.0681444	2589
2810455O05Rik	1.0680932	2232
1700080O16Rik	1.0680871	4077
Col4a4	1.0680004	136126
Adora3	1.0679986	38070
Gm9769	1.0679748	482
Upf3b	1.0678318	18662
Kdm1b	1.0678209	41114
Mcm6	1.0677663	28065
Pdcd2l	1.067743	12162
Snx20	1.0677408	9300
Trmt61b	1.0676984	41728
Fa2h	1.0676457	48689
Wbscr27	1.0675613	10269
4930568K20Rik	1.0674739	7412
Pla2g1b	1.0674165	8460
Gm13777	1.0673572	344
Lama4	1.0672852	144673
Sema4f	1.0672791	27884
Nprl2	1.0672278	3495
Cnih2	1.067163	5547
Ptgdr	1.0671537	8140
Sqrdl	1.0671513	44332
Ep300	1.0670795	66726
A230065H16Rik	1.0670549	5268
Erbb2	1.0669705	25246
AU021092	1.0669513	10471
Fcgr4	1.0668641	10841
Pycrl	1.0668554	5097
Tmprss6	1.0668366	28966
4930562F07Rik	1.0668023	3250
Krt78	1.066771	8283
Asz1	1.0667499	58097
Olah	1.0667398	24609
Tgm5	1.066725	39730
Rnf40	1.0665548	14907
Ccdc77	1.0664591	40051
Nt5m	1.066449	41521
Bcam	1.0663403	14885
Atp5a1	1.0663316	9140
Ogfod1	1.0663112	30723
Chit1	1.0662386	40298
Fam167b	1.0662143	1734
4932418E24Rik	1.066188	22911
1810033B17Rik	1.0661879	3143
Acp5	1.0661858	9015
Gm15506	1.0661839	20592
Abt1	1.0661664	2327
Sag	1.0661271	41478
Ngb	1.0660936	5008
H2-Q6	1.0660142	5205
2010107E04Rik	1.0660137	5601
1600016N20Rik	1.0659798	4039
Anks4b	1.0659142	9858
Gm15483	1.0659101	455
Camp	1.0658987	2081
Nr0b2	1.0658337	3160
Hmgn1	1.0658199	7111
Slc25a35	1.0657768	6234
Gm11478	1.0656664	598
Ncapd2	1.0656554	23586
A630023P12Rik	1.0656165	11057
Ogfod2	1.0656124	3186
Rbks	1.0655651	73188
Coch	1.0655226	12399
Mbip	1.0654894	17588
Tgm1	1.065487	13483
Slc12a9	1.0654039	19039
4930449I24Rik	1.0653683	2755
1700012P22Rik	1.0653603	20583
E2f8	1.0652394	15167
1700013G24Rik	1.0651948	2177
Gm6211	1.065083	4274
Pou2f3	1.0650679	87741
Tmem89	1.0649409	944
Psmd4	1.0648793	9920
Mad2l2	1.0648782	15315
Atoh8	1.0648736	29400
Pcdhb1	1.0648055	2456
Ppp1r35	1.0647966	1261
Areg	1.0646513	8817
1700029H14Rik	1.0645729	11728
D030018L15Rik	1.0645709	27937
Gdf2	1.0645182	6159
Eftud2	1.0645027	42512
Lrtm1	1.0643928	15434
Kcnk15	1.0643395	6095
Alpi	1.0643178	3602
Arhgap27	1.0642706	32195
Rpl6	1.0642263	4760
Gdi1	1.0641077	6864
Uck1	1.0640703	5157
AA467197	1.0640517	4205
4930432K21Rik	1.0640434	24565
Colq	1.0640247	68261
Lrfn3	1.0640218	7258
Asap3	1.0640193	38851
Neu3	1.0639765	16978
Cd3d	1.0639675	5259
Timd2	1.0639586	38101
Ddn	1.063928	4143
Tspan13	1.0638031	27943
Trav12-1	1.0637568	478
Otos	1.0635462	4623
Gm5083	1.063513	4012
Cyp4a31	1.0633681	15364
Trbv13-2	1.0633439	415
Hhex	1.063281	7841
Gsg1	1.0631491	17007
Ooep	1.063136	2616
Myo1g	1.0631118	14417
Gpa33	1.0630631	36272
Unc93b1	1.0629255	14154
Maf1	1.0628612	3086
Tmbim6	1.0628556	17167
Kcnj1	1.0628357	26774
Sh2d4b	1.0628297	79477
Grk1	1.0627675	16864
Ctps	1.0627673	30408
8430432A02Rik	1.0627092	1247
1700008O03Rik	1.0626893	25777
Gnb2	1.0626825	5383
Tiprl	1.062673	22021
Hrc	1.0626619	3683
Glt8d2	1.0626053	40217
Crybb3	1.0625833	5745
Hsd17b12	1.0625662	125275
Esyt3	1.0625556	48563
Rnf8	1.0625395	88569
Spc24	1.0625262	4847
Agpat1	1.0624901	9187
Ccdc71	1.062478	5427
Tnfrsf21	1.0624579	72633
Gm10224	1.0619476	686
Tbc1d10b	1.0618643	11009
Dusp27	1.061846	29745
Kctd12b	1.0618403	11237
Il22ra1	1.0618321	23968
Wdfy4	1.0617287	225961
2310065F04Rik	1.0617063	7619
Zbtb33	1.0616275	7253
Rom1	1.0616164	1974
Thada	1.061581	276140
Saa2	1.0615711	2481
Pigyl	1.0614797	1512
Armcx2	1.0613987	5076
Surf2	1.0613985	3816
Alox5ap	1.0613875	22987
Ifitm6	1.0613326	1080
6030443J06Rik	1.0612063	257413
Btk	1.0611837	41234
Cldn7	1.0610521	3106
Btbd17	1.0609577	4728
Klk12	1.0609196	4679
Figla	1.0608869	3805
Nckap5l	1.0608778	35713
Clgn	1.0608752	38685
8030451A03Rik	1.0608431	170070
Exoc5	1.0608299	54507
Cabp2	1.0606862	5762
Lcn3	1.0606647	2530
Clca6	1.0606476	22565
D2hgdh	1.060578	27108
Hras1	1.0605654	4900
4933416E03Rik	1.0604538	33947
Bdkrb2	1.0603551	29899
Nlrp6	1.0602571	7638
Ttbk2	1.0602461	117788
Neurog1	1.0602299	1658
Slc25a48	1.0602071	35884
Tacr1	1.0601542	157769
Tspan18	1.0601535	132745
Klf16	1.060144	10197
3110057O12Rik	1.0601302	91168
Htr1f	1.0601052	181055
Grin2c	1.0600371	18074
Lbx2	1.0599111	1878
Mblac1	1.0598483	1086
Tyw1	1.0598158	85944
Gm12952	1.0597769	389
Cd96	1.0597733	84594
Thy1	1.0597292	5195
Uba52	1.059679	2538
Ap2a1	1.059661	29123
H2-T3	1.0594982	4715
Plekhg3	1.0594168	45479
Serpina3a	1.0594158	9172
Grina	1.0593389	3097
Opn4	1.0592018	9524
Abcc3	1.0590729	49699
D6Ertd474e	1.0590575	51384
Lrrc8a	1.0590339	44433
Svep1	1.0588548	164417
4930466I24Rik	1.0588301	3723
Gm2381	1.0587431	50405
Bbox1	1.0586718	51863
Fam129a	1.0585954	150753
Esrp2	1.0585852	6655
Cd97	1.0585117	18075
Itgb3	1.0584968	62476
4933406G16Rik	1.0584425	10464
Cacna2d4	1.058426	115881
Gimap5	1.0583957	8013
Cyp24a1	1.0583372	14437
Plekhn1	1.0582575	7086
Six5	1.0582104	3955
Pprc1	1.0581583	28029
Gm5451	1.0580677	693
4930444E06Rik	1.0580518	1608
Cd8a	1.0580114	5744
Rac1	1.0580034	22558
Chrna9	1.0579958	42405
Nrip2	1.0579929	9636
Fbxo24	1.0579839	16499
Adamtsl5	1.0579439	9302
0610025J13Rik	1.0579059	10393
Bglap	1.0578798	963
Tat	1.057824	9366
Igfbp6	1.0578228	5149
4933404K08Rik	1.0577546	3917
Itih4	1.0577047	15505
Phlpp1	1.0576599	222498
Adh1	1.0576367	29707
Exosc3	1.0576322	26119
Krt80	1.0576146	22681
Car4	1.0575733	8258
Ube2d1	1.057448	30282
Ccdc103	1.057436	4012
Guca2a	1.0573897	1767
Atp4a	1.0573753	13326
A430104N18Rik	1.0573145	1693
Foxd2	1.0572714	2618
Hdgfl1	1.0572473	1993
Ell	1.0572469	53183
Boll	1.0572425	114811
Trappc2	1.0571913	12566
A4galt	1.057114	25048
Tada2b	1.0570914	10615
Suox	1.0570664	4031
Thap1	1.057041	4728
Nespas	1.05692	14199
4930488B22Rik	1.0569088	6492
Ttk	1.0568925	37701
Sash3	1.0568894	15129
Gpr75	1.0567732	8371
Ggnbp1	1.0566485	63161
Edn2	1.0566365	6154
Fam187b	1.0566251	15916
Fes	1.0566132	10191
Aadac	1.0565072	8397
Pex11a	1.0564783	7174
4933438A12Rik	1.0562246	7093
Rpap1	1.0561223	24233
P2rx2	1.0561074	3337
2610019F03Rik	1.0560559	23023
Alox12	1.0560312	13896
Pnliprp2	1.0559918	17810
Slc6a4	1.0559894	33737
Lgi4	1.0559816	11593
Klb	1.0559722	35617
Ppp1r2-ps9	1.0559373	881
Piwil1	1.0558231	19228
Dhcr7	1.0557582	25265
Klk11	1.0556306	4641
Gm10125	1.0556178	100936
Lamc2	1.055607	63691
H1fnt	1.0556002	1325
Rab19	1.0555661	9205
Cdca5	1.0554094	6794
1700056E22Rik	1.0553497	542
Rb1	1.055297	142149
Fnta	1.0552945	16872
Hsd11b2	1.0552465	5238
Fabp12	1.0551555	56974
Klk9	1.0551435	4865
Tbc1d22b	1.0550337	57107
Foxd3	1.0550166	2372
Rpl26	1.0549899	5406
C530025M09Rik	1.0549421	689
Wap	1.0548341	7162
Edn1	1.0547045	6719
Gk5	1.0545853	65265
Dnajc5b	1.0545537	102267
Gm9776	1.0545146	2979
Ugt3a1	1.054462	41713
Gm4792	1.0543824	5038
3000002C10Rik	1.0543659	4763
Gm4736	1.0543027	3086
Nr1h3	1.0542746	18773
Pisd	1.0542233	49346
Tecta	1.054188	70310
Zfp352	1.0541589	6882
Zcchc24	1.0541562	57216
4632428N05Rik	1.0541152	25833
Pisd-ps2	1.0540057	7605
4930535C22Rik	1.0539147	3693
Pin1	1.0539002	14454
Agpat4	1.0538753	100941
Grifin	1.0537137	1952
Best1	1.0536247	16459
Egr3	1.0534427	2712
Gxylt2	1.0533998	100347
Cdkl1	1.0533386	43859
Ccdc28a	1.05331	21322
Rangrf	1.0533082	2701
Zdhhc4	1.0530813	12767
Wdr63	1.0530622	67604
Glp1r	1.0529772	34670
Etfdh	1.0529383	25075
Commd3	1.0528824	3847
Alx3	1.0528622	10843
Cma1	1.0528257	3208
Gpr179	1.0526949	19968
Rnf113a2	1.0526688	1383
Sh3rf2	1.0525808	105293
Aste1	1.0525435	10366
Magea7-ps	1.0524827	959
Plin4	1.0524822	9211
1700012L04Rik	1.0524734	499
Chfr	1.0523001	36132
Lfng	1.0522867	8202
5330411J11Rik	1.0522152	4969
Hagh	1.0521368	24307
Ngdn	1.0521262	8681
Oit3	1.0520846	18820
Nog	1.0520664	1921
Mrgprf	1.0518806	8729
Tfb1m	1.0518355	38450
Tstd1	1.0517008	1319
Glt6d1	1.0516546	21989
Irf7	1.0515671	3775
Gm11487	1.0515373	4040
Anapc11	1.0515126	9777
Znrf4	1.0515016	1235
Creb5	1.0514764	122623
Gm16619	1.0514649	4341
Oc90	1.0513126	36344
Cga	1.0513028	13591
Lpxn	1.0512726	35201
Abcb4	1.0512402	65508
Ghrhr	1.0512229	12235
Pik3r6	1.0511593	49679
Ifitm1	1.0511564	2604
Ngp	1.0511553	3260
Slfn2	1.0511334	5566
Aqp2	1.051124	5489
Gm5451	1.0510501	693
Odf3	1.0510292	3213
Lmo2	1.0508895	23892
Mtnr1a	1.05088	19219
Ecscr	1.0507903	9270
Hspb8	1.0506295	14373
Ggt5	1.0505915	27587
Chst7	1.0505706	37961
Igfbp7	1.0505654	58805
Zmpste24	1.0505643	39004
B530045E10Rik	1.0505476	2525
Nap1l4	1.0505382	35513
Gm14168	1.0503964	5665
4931417E11Rik	1.0503311	1063
Txlnb	1.0503258	49439
Fndc1	1.0502894	88733
Gm12042	1.0502558	300
Plekho2	1.0502526	25654
Cox5a	1.0502064	11192
Kifc2	1.050172	7629
Slco1a1	1.0501586	39680
Baiap3	1.0500934	13705
Rnf166	1.0499487	9917
Mrpl14	1.0499325	12173
Tmem82	1.0498723	5257
Gli1	1.0497392	11700
Sik1	1.0496389	11544
3010026O09Rik	1.0495933	25671
Txndc8	1.0495658	25097
Spata21	1.0494634	24427
Gpr39	1.0494113	196867
Gtf2h1	1.0494105	27697
Zp3	1.0493894	8525
Katnb1	1.049344	18673
Cfc1	1.0493156	8663
A430105J06Rik	1.0491897	3525
Magea4	1.0491232	947
Renbp	1.0490474	8729
Nat8	1.0490172	1694
2010109I03Rik	1.0489361	3368
B4galt3	1.0488492	6568
4930503B20Rik	1.0488344	6124
4930449E01Rik	1.0487138	6834
Sh2b1	1.0486971	8136
Papolb	1.0486454	4238
Hes1	1.0485407	3412
Psd	1.0484902	15069
Capza2	1.0484368	30738
Actl9	1.0484279	1371
AU022751	1.0484266	2200
Coil	1.0483392	21361
Cdkl4	1.0483056	40284
Nhlrc1	1.0481956	2292
Cecr2	1.0481569	104821
Dhtkd1	1.0481457	46677
Bmp10	1.0481237	5510
Wrb	1.0481151	12445
Lce3a	1.0480821	939
Cyp2d40	1.0478534	4348
Tmem59l	1.0478393	3482
Rp1	1.0477504	16249
Fmo1	1.0477407	36987
Scnn1g	1.0477024	33996
Gata5	1.0476627	9566
1700040N02Rik	1.0476041	24074
Olfml2a	1.0475703	31775
Krtdap	1.0475564	3178
Polr2d	1.0474875	7483
Gm10681	1.0474601	11485
Ces3a	1.0474361	9815
Plin5	1.0472633	5995
Cd81	1.0471706	15195
Ccdc88b	1.0471245	13588
Akap4	1.0469922	11090
Ppp1r3c	1.0468313	4916
Hfe2	1.0467671	4031
Pxk	1.0466067	66900
Slc27a5	1.0466037	9846
Strc	1.046366	23440
A430071A18Rik	1.0463461	13553
Rarres2	1.0462606	2972
Fscn2	1.0462481	6634
Dbx1	1.0462161	5350
Slc46a2	1.0462111	9930
Gm3362	1.0461392	465
Ankle1	1.0461149	3894
Msx3	1.0460731	2983
Mkrn2	1.045913	16739
Tmem102	1.0458364	2021
Afg3l2	1.0456117	44399
Mapk13	1.0455803	9391
4933403O03Rik	1.0454146	554
Asb10	1.0453707	8281
Nphp4	1.0452033	86477
Zfp389	1.0451813	674
Trib1	1.045147	8200
Adh6b	1.0451263	6483
Gm10051	1.044936	496
Il17b	1.044862	4602
Sorbs3	1.0448569	27169
Bmp7	1.0448443	72309
Gm1673	1.0448397	1576
BC096441	1.044827	13521
Tpte	1.0447694	87977
C1qtnf1	1.0447485	21760
Fzd10	1.0446594	2430
Gm11237	1.0446408	19162
Cyp4f16	1.0446006	15240
Gtsf1	1.0445836	28065
Stk25	1.0445421	13820
Tmem132a	1.0444149	12118
Saa4	1.044283	4526
Slc38a6	1.0442165	67270
Papln	1.0441809	28748
H2-Q10	1.044171	4474
Hadha	1.0440956	36861
4930505M18Rik	1.0440367	2429
Pcdhb6	1.0440052	3405
Cyp4b1	1.0439978	23019
2310002L09Rik	1.0439582	11475
Pcsk6	1.0439341	188606
Folr1	1.0439097	12457
Mdh2	1.0438845	11918
Trem2	1.0438211	7746
1600029I14Rik	1.0437404	18707
Ndufa4l2	1.0437101	2213
Utp3	1.0436311	1600
3110099E03Rik	1.0435524	34231
Fat2	1.0435274	85955
Sema3b	1.0434812	11555
Ahsg	1.0434318	7396
Myl6b	1.0433261	4528
Aurkaip1	1.0433085	1858
Noc3l	1.0432521	31109
Mob3c	1.0431842	8093
Lrrk1	1.0430565	161438
Slc2a12	1.043018	59274
A330094K24Rik	1.0428735	3789
Slc19a3	1.0428368	25925
Arhgef19	1.0428193	17989
Adig	1.0427047	5586
Pram1	1.0426929	7650
Ccl1	1.0426172	129033
Adh4	1.0425844	15426
Nlrp4f	1.0424929	28857
Arhgap11a	1.0423688	18645
Sppl3	1.0423466	87653
1700001K19Rik	1.0422782	14930
Alpl	1.0421677	54651
Pgbd1	1.0421468	19783
Gm15408	1.042049	5814
Mall	1.0419586	25546
C130073F10Rik	1.0419008	3769
Pde11a	1.041822	349633
Steap1	1.0416964	13009
Usp45	1.0416702	70716
2200002D01Rik	1.0416244	1871
Atp6ap2	1.0414879	29248
Srxn1	1.0414722	5860
Map4k2	1.0414556	14480
Kdm4c	1.0414258	163363
Acot13	1.0414176	13569
Egln2	1.0414023	8144
Arhgap8	1.0413672	52155
Myod1	1.0413197	2618
Srpk3	1.041284	4520
Hnrnph2	1.0412349	5881
Cenpl	1.0412222	15957
Tenc1	1.0412157	15923
Slc22a12	1.0411873	7174
Fgd5	1.0411544	97126
Zfp330	1.0411475	10539
Klhl35	1.041146	8018
Adora2b	1.0410768	17469
Ubac1	1.0410271	23204
5930412G12Rik	1.0409992	21587
Pdzk1	1.0409764	41642
9230116N13Rik	1.0409254	3603
Krt24	1.0407914	5303
Gramd3	1.0407071	103455
Vsig2	1.0406537	4950
Rxfp2	1.0405931	63509
Fbxw19	1.0404449	17305
Ovol2	1.0404334	26971
Med15	1.0403545	71739
Itih1	1.0403543	14109
Tnfrsf17	1.0403175	6262
Exoc3l	1.0402157	6174
Lce3c	1.0401499	1244
Gata4	1.0400696	72770
Gal3st1	1.0400041	15690
5530401N12Rik	1.0399382	5968
Atg9a	1.0398941	11057
Zfp583	1.0398252	15625
Ndufb10	1.039796	2418
Abcc9	1.0397947	114412
Serinc2	1.0397818	25710
Zbtb38	1.0397452	70068
Klhl17	1.0397265	5813
Gpr137c	1.0396432	61511
Ppp2r1a	1.0395311	20605
Kprp	1.0394132	4173
Cd164l2	1.0394015	12424
Tmem205	1.0392282	6453
Ankrd35	1.0392138	20878
2610028H24Rik	1.0392116	12029
1600014K23Rik	1.0392035	20609
Gpx6	1.0391968	7407
Klf14	1.0390891	2969
Cgnl1	1.0390248	145093
Gm13398	1.0389832	3568
Uox	1.0389822	35228
Nr4a1	1.0389447	7946
Fut1	1.0389427	3453
Vax1	1.0389072	4949
C8a	1.0388587	60719
Sftpb	1.0387914	8307
D430020J02Rik	1.0387346	20765
1200014J11Rik	1.0386963	32434
Gdf11	1.038692	9423
Fam50b	1.0386444	12763
Zfp710	1.0386314	67937
Kti12	1.0385875	1555
Alb	1.0384235	15714
